"primaryName","primaryName_fr","description","description_fr","classification"
"Carpets/Rugs/Draperies/Linens/Tile (No Off Premises Installation/Repair/No Fine/Antique Rugs) - Retail","Moquettes, tapis, draperies, literie, carreaux (sans installation ni réparation hors des lieux; tapis fins et anciens exclus) – Commerce de détail","As a carpets/rugs/draperies/linens/tile retailer, I sell various floor, wall and window coverings online and in store. I do not sell any fine/antique rugs and do not do any installations or repairs off premises.","En tant que détaillant de moquettes, tapis, draperies, literie et carreaux, je vends en magasin et en ligne divers objets qui servent à couvrir les planchers, les murs et les fenêtres. Je ne vends pas de tapis fins ou anciens, et je ne fais pas d’installations ou de réparations hors des lieux.","RETAIL"
"Chartered Accountant/Certified Auditor","Comptable/auditeur agréé","As a chartered accountant, I give advice, audit accounts and provide trustworthy information about financial records. This might involve financial reporting, taxation, auditing, forensic accounting, corporate finance, business recovery and insolvency, or accounting systems and processes. As a certified auditor,  I conduct audits, develop procedures and test internal controls.","En tant que comptable agréé, je donne des conseils, je contrôle des comptes et je fournis de l’information fiable sur les états financiers. Mon travail peut notamment porter sur les rapports financiers, la fiscalité, les audits, la comptabilité financière, la faillite et le redressement d’entreprises ainsi que les systèmes et processus de comptabilité. En tant qu’auditeur agréé, j’effectue des audits, j’élabore des procédures et je mets à l’essai les contrôles internes.",NULL
"Construction - Irrigation / Drainage / Sprinkler Systems (Commercial - No Fire Extinguishing)","Construction – Systèmes d’irrigation et de drainage, arroseurs (commerciaux – gicleurs exclus)","As an irrigation/drainage/sprinkler system contractor, I construct in-ground irrigation, drainage or in-ground sprinkler systems to enhance landscaping for commercial businesses.","En tant qu’entrepreneur en systèmes d’irrigation, de drainage et d’arrosage, je construis des systèmes souterrains d’irrigation, de drainage et d’arrosage pour améliorer l’aménagement paysager autour d’entreprises.","CONTRACTING"
"Dance / Gymnastic / Martial Arts Schools","Écoles de danse, de gymnastique et d’arts martiaux","As a dance instructor, I teach dance techniques, choreograph dance routines and prepare students to perform dances at recitals and other similar type events.
As a gymnastic instructor, I teach gymnasts the basics of gymnastics, such as safety precautions, proper stretching and foundation moves.
As a martial arts instructor, I train students in the use of particular combat techniques, such as karate, kung fu, judo and others.
","À titre de professeur de danse, j’enseigne des techniques de danse, je chorégraphie des routines et je prépare des élèves à exécuter des danses lors de récitals et autres événements similaires.

À titre d’instructeur de gymnastique, j’enseigne aux gymnastes les bases de la gymnastique telles que les précautions de sécurité, les étirements appropriés et les mouvements de base. 

À titre d’instructeur d’arts martiaux, j’entraîne les élèves à utiliser des techniques de combat particulières telles que le karaté, le kung-fu, le judo, etc.
","CONTRACTING"
"Furniture / Rug / Drapery Cleaning (On Customer's Premises)","Nettoyage de meubles, de tapis, de draperies (au domicile du client)","As a furniture/rug/drapery cleaner, I steam-clean or apply a dry-cleaning solvent to furniture, rugs, draperies, blinds, drapes and upholstery on my customer's premises.","En tant que nettoyeur de meubles, de tapis et de draperies, je nettoie à sec ou à vapeur des meubles, des tapis, des draperies, des stores et matériaux de rembourrage au domicile de mes clients.",NULL
"Landscaping (No Pesticide/Herbicide Use)","Aménagement paysager (sans utilisation de pesticides/herbicides)","As a landscaper, I maintain outdoor areas and provide lawn care, including raking and mowing the grass, planting and trimming bushes and flowers, mulching and weeding the landscape beds, and creating/maintaining outdoor sceneries such as gazebos and fountains.","En tant que paysagiste, j’entretiens des lieux extérieurs et des pelouses. Cela comprend râteler et tondre le gazon, planter et tailler des arbustes et des fleurs, pailler et ensemencer le sol ainsi qu’installer et entretenir des structures ou des objets extérieurs, comme des pavillons de jardin et des fontaines.","CONTRACTING"
"Paving Contractor (Driveways/Parking Lots) - Residential","Entrepreneur en pavage (entrées, stationnements) – Secteur résidentiel","As a residential paving contractor, I construct or repair paved surfaces such as driveways, parking lots, patios, walkways and pools decks.","En tant qu’entrepreneur en pavage, je crée ou je répare des surfaces pavées comme des entrées, des stationnements, des patios, des allées piétonnes et des pourtours de piscine.","CONTRACTING"
"Carpentry, trim and millwork (No Wood Shop)","Menuiserie de finition (non en atelier)","As a carpenter/millworker, I install both decorative and functional elements including trim and molding, cabinetry, ceiling treatments, doors, windows, exposed columns and beams, displays and mantels in commercial and residential properties. I do not have a fabrication shop.","En tant que menuisier ou menuisier de préfabrication, j’installe des éléments décoratifs et fonctionnels comme des boiseries, des moulures, des armoires, des portes, des fenêtres, des colonnes et des poutres exposées, des tablettes et des manteaux de cheminée, etc. dans des propriétés commerciales et résidentielles. Je n’ai pas d’atelier de fabrication.","CONTRACTING"
"Bedding / Blanket / Quilt Making","Literie, couvertures, édredons – Fabrication","As a bedding, blanket and/or quilt maker, I make blankets, quilts and other bedding items, such as decorative pillows, from my home or a small commercial location. I may sell my products at craft shows or online across Canada.","En tant que fabricant de literie, de couvertures ou d’édredons, je fabrique des couvertures, des édredons et d’autres articles de literie, comme des oreillers décoratifs, à partir de mon domicile ou d’un petit local commercial. Je peux vendre mes produits dans des salons d’artisanat ou en ligne partout au Canada.","CONTRACTING"
"Wood Products Maker
(Cabinetry / Closets / Molding / Trim / Fixtures / Partitions)","Produits en bois – Fabricant (armoires d’ébénisterie, garde-robes, moulures, boiserie, accessoires d’ameublement, cloisons)","As a wood products maker, I manufacture wood products for residential and commercial use, such as cabinetry, closets, molding, trim, fixtures and partitions.  I use various types of specialty wood working equipment to complete these tasks.","En tant que fabricant de produits en bois, je fabrique des produits en bois à usage résidentiel et commercial, tels que des armoires, des placards, des moulures, des garnitures, de la menuiserie préfabriquée et des cloisons. J’utilise divers types d’équipement spécialisé dans le travail du bois pour accomplir ces tâches.","CONTRACTING"
"Construction - Sidewalks","Construction – Trottoirs","As a sidewalk construction contractor, I install and repair sidewalks for my customers.","En tant qu’entrepreneur en construction de trottoirs, je construis et répare des trottoirs pour mes clients.","CONTRACTING"
"Real Estate Agent/Broker","Agent/courtier immobilier","As a real estate agent/broker, I help my clients purchase, rent or sell properties and am paid commissions for my sales. I advise clients about market conditions, conduct walkthroughs and provide guidance and assistance through the process of buying, selling or leasing properties.","En tant qu’agent ou courtier immobilier, j’aide mes clients à acheter, louer ou vendre des propriétés et je touche une commission sur mes ventes. J’informe mes clients des conditions du marché, j’effectue des visites et j’offre des conseils et de l’aide portant sur le processus d’achat, de vente ou de location de propriétés.",NULL
"Meeting and Event Planner","Planificateurs de réunions et d’événements","As an event planner, I arrange the details of a variety of events, including but not limited to weddings, anniversaries, reunions and corporate events such as product launches, galas and award ceremonies.","En tant que planificateur(trice) d’événements, je veille à tous les aspects de l’organisation de divers événements comme des mariages, des anniversaires, des réunions et des activités d’entreprise (lancements de produits, galas, cérémonies de remise de prix, etc.).",NULL
"devTest","devTest","NOT AN ACTUAL PROFESSION: For Dev only","NOT AN ACTUAL PROFESSION: For Dev only",NULL
"Retail - Convenience / Variety / Tobacco Store","Commerce de détail – Dépanneurs, magasins populaires, magasins de tabac","As a retail convenience/variety store, we stock a range of everyday items such as milk, eggs, coffee, snack foods, confectionery, soft drinks, tobacco products, toiletries, newspapers, magazines and over the counter drugs.","En tant que dépanneur ou magasin populaire, nous offrons un éventail d’articles d’usage courant comme le lait, les œufs, le café, les collations, les confiseries, les boissons gazeuses, les produits du tabac, les articles de toilette, les journaux, les magazines et les médicaments en vente libre.","RETAIL"
"IT Consultant","Conseiller en TI","As an information technology consultant, I provide advice, guidelines, and a strategic framework for sourcing, utilizing and managing IT software, hardware and resources. I am not doing any project management.","En tant que conseiller en TI, je fournis des conseils, des directives et un cadre stratégique pour la fourniture, l’utilisation et la gestion de logiciels, de matériel et de ressources concernant les TI. Je ne fais pas de gestion de projets.","PROFESSIONAL_SERVICES"
"Candy & Confectionery - Retail","Bonbons et confiserie – Commerce de détail","As a candy & confectionary retailer, I sell chocolates and a variety of candies and treats online and in store.","En tant que détaillant de bonbons et de confiseries, je vends en magasin et en ligne des chocolats et divers bonbons ou friandises.","RETAIL"
"Heating and Air Conditioning Equipment Installation and Service - Commercial","Chauffage et climatisation – Installation et entretien de matériel – Secteur commercial","As a heating/air conditioning contractor, I install, maintain or repair the climate control systems in your commercial premises so heated or cooled filtered air can circulate and keep those on the premises comfortable.","En tant qu’entrepreneur en chauffage et climatisation, j’installe, j’entretiens et je répare des systèmes de contrôle de la température dans les locaux commerciaux pour y faire circuler de l’air filtré chauffé ou refroidi pour le confort des occupants.","CONTRACTING"
"Flooring and Ceiling Contractor","Plancher, plafond – Entrepreneur","As a flooring and ceiling contractor, I install ceilings and carpet, wood, linoleum, vinyl and other resilient floor coverings.","En tant qu’entrepreneur en planchers et en plafonds, j’installe des plafonds ainsi que des revêtements de sol en moquette, en bois, en linoléum, en vinyle, etc.","CONTRACTING"
"Photographer","Photographe","As a professional photographer, I profit from the sale, display, or general use of the photos I take.","En tant que photographe professionnel, je tire un revenu de la vente, de l’exposition ou de l’utilisation générale de photos que je prends.","PROFESSIONAL_SERVICES"
"Dentists","Dentistes","As a dentist, I diagnose and treat problems with patients' teeth, gums and related parts of the mouth.","En tant que dentiste, je diagnostique et je traite des problèmes liés aux dents, aux gencives ou à des parties connexes de la bouche de mes clients.",NULL
